Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
2021-01-22T16:58:57.016+0800: 2.131: [GC (Allocation Failure) [PSYoungGen: 9696K->1024K(9728K)] 28865K->20904K(31744K), 0.0019400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.057+0800: 2.172: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 29608K->21504K(31744K), 0.0019534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.059+0800: 2.174: [Full GC (Ergonomics) [PSYoungGen: 1024K->0K(9728K)] [ParOldGen: 20480K->15315K(22016K)] 21504K->15315K(31744K), [Metaspace: 30224K->30224K(1077248K)], 0.0588460 secs] [Times: user=0.39 sys=0.00, real=0.06 secs] 
2021-01-22T16:58:57.172+0800: 2.287: [GC (Allocation Failure) [PSYoungGen: 8704K->928K(9728K)] 24019K->16251K(31744K), 0.0016021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.211+0800: 2.326: [GC (Allocation Failure) [PSYoungGen: 9632K->992K(9728K)] 24955K->16377K(31744K), 0.0014615 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.249+0800: 2.364: [GC (Allocation Failure) [PSYoungGen: 9696K->928K(9728K)] 25081K->16320K(31744K), 0.0017370 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.283+0800: 2.398: [GC (Allocation Failure) [PSYoungGen: 9632K->1008K(9728K)] 25024K->16545K(31744K), 0.0014910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.305+0800: 2.420: [GC (Allocation Failure) [PSYoungGen: 9712K->1024K(9728K)] 25249K->16750K(31744K), 0.0018525 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.327+0800: 2.442: [GC (Allocation Failure) [PSYoungGen: 9728K->1008K(9728K)] 25454K->17014K(31744K), 0.0017789 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.355+0800: 2.470: [GC (Allocation Failure) [PSYoungGen: 9712K->1024K(9728K)] 25718K->17261K(31744K), 0.0018298 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.380+0800: 2.495: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 25965K->17638K(31744K), 0.0018655 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.405+0800: 2.519: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 26342K->17876K(31744K), 0.0020549 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.431+0800: 2.545: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 26580K->18169K(31744K), 0.0017967 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.459+0800: 2.574: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 26873K->18481K(31744K), 0.0022582 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.494+0800: 2.608: [GC (Allocation Failure) [PSYoungGen: 9728K->1008K(9728K)] 27185K->19159K(31744K), 0.0020503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.520+0800: 2.635: [GC (Allocation Failure) [PSYoungGen: 9712K->1024K(9728K)] 27863K->19623K(31744K), 0.0017648 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.544+0800: 2.659: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 28327K->19976K(31744K), 0.0043892 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.578+0800: 2.693: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 28680K->20409K(31744K), 0.0037985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.610+0800: 2.725: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 29113K->20768K(31744K), 0.0036421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.645+0800: 2.760: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 29472K->21083K(31744K), 0.0018950 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.687+0800: 2.802: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 29787K->21351K(31744K), 0.0021365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.712+0800: 2.827: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 30055K->21720K(31744K), 0.0048811 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T16:58:57.743+0800: 2.858: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 30424K->21939K(31744K), 0.0027461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.767+0800: 2.882: [GC (Allocation Failure) [PSYoungGen: 9728K->1024K(9728K)] 30643K->22271K(31744K), 0.0017991 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:58:57.769+0800: 2.884: [Full GC (Ergonomics) [PSYoungGen: 1024K->0K(9728K)] [ParOldGen: 21247K->18493K(22016K)] 22271K->18493K(31744K), [Metaspace: 33284K->33284K(1079296K)], 0.1146288 secs] [Times: user=0.77 sys=0.00, real=0.12 secs] 
2021-01-22T16:58:57.906+0800: 3.021: [GC (Allocation Failure) [PSYoungGen: 8704K->384K(9728K)] 27197K->18877K(31744K), 0.0012798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:02.921+0800: 8.036: [GC (Allocation Failure) [PSYoungGen: 9088K->960K(9728K)] 27581K->19461K(31744K), 0.0018177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:02.954+0800: 8.069: [GC (Allocation Failure) [PSYoungGen: 9664K->1008K(9728K)] 28165K->20151K(31744K), 0.0021437 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:02.988+0800: 8.102: [GC (Allocation Failure) [PSYoungGen: 9712K->1008K(9728K)] 28855K->21421K(31744K), 0.0022744 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:03.033+0800: 8.148: [GC (Allocation Failure) [PSYoungGen: 9712K->992K(9728K)] 30125K->21856K(31744K), 0.0024086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:03.081+0800: 8.196: [GC (Allocation Failure) [PSYoungGen: 9696K->992K(9728K)] 30560K->22567K(31744K), 0.0025036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:03.084+0800: 8.199: [Full GC (Ergonomics) [PSYoungGen: 992K->0K(9728K)] [ParOldGen: 21574K->18313K(22016K)] 22567K->18313K(31744K), [Metaspace: 35669K->35483K(1081344K)], 0.0730810 secs] [Times: user=0.51 sys=0.00, real=0.07 secs] 
2021-01-22T16:59:03.343+0800: 8.457: [GC (Allocation Failure) [PSYoungGen: 8704K->320K(9728K)] 27017K->18641K(31744K), 0.0024732 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:03.543+0800: 8.658: [GC (Allocation Failure) [PSYoungGen: 9021K->288K(9728K)] 27343K->18617K(31744K), 0.0026652 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:03.751+0800: 8.865: [GC (Allocation Failure) [PSYoungGen: 8992K->256K(9728K)] 27321K->18593K(31744K), 0.0022796 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:03.960+0800: 9.075: [GC (Allocation Failure) [PSYoungGen: 8960K->192K(9728K)] 27297K->18529K(31744K), 0.0033929 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:04.125+0800: 9.241: [GC (Allocation Failure) [PSYoungGen: 8896K->288K(9728K)] 27233K->18633K(31744K), 0.0024672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:04.324+0800: 9.439: [GC (Allocation Failure) [PSYoungGen: 8992K->320K(9728K)] 27337K->18673K(31744K), 0.0033682 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:04.534+0800: 9.649: [GC (Allocation Failure) [PSYoungGen: 9018K->352K(9728K)] 27371K->18713K(31744K), 0.0021722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:04.730+0800: 9.845: [GC (Allocation Failure) [PSYoungGen: 9056K->288K(9728K)] 27417K->18649K(31744K), 0.0030343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:04.906+0800: 10.021: [GC (Allocation Failure) [PSYoungGen: 8984K->320K(9728K)] 27346K->18689K(31744K), 0.0037849 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:05.091+0800: 10.205: [GC (Allocation Failure) [PSYoungGen: 9024K->384K(9728K)] 27393K->18761K(31744K), 0.0027573 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:05.267+0800: 10.382: [GC (Allocation Failure) [PSYoungGen: 9088K->384K(9728K)] 27465K->18761K(31744K), 0.0025934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:05.411+0800: 10.525: [GC (Allocation Failure) [PSYoungGen: 9088K->320K(9728K)] 27465K->18705K(31744K), 0.0034084 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:05.539+0800: 10.654: [GC (Allocation Failure) [PSYoungGen: 9024K->352K(9728K)] 27409K->18737K(31744K), 0.0020046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:05.659+0800: 10.775: [GC (Allocation Failure) [PSYoungGen: 9056K->352K(9728K)] 27441K->18737K(31744K), 0.0038460 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:05.763+0800: 10.879: [GC (Allocation Failure) [PSYoungGen: 9056K->320K(9728K)] 27441K->18713K(31744K), 0.0019864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:05.870+0800: 10.985: [GC (Allocation Failure) [PSYoungGen: 9024K->288K(9728K)] 27417K->18849K(31744K), 0.0039409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:05.971+0800: 11.086: [GC (Allocation Failure) [PSYoungGen: 8988K->256K(9728K)] 27550K->18849K(31744K), 0.0028265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:06.055+0800: 11.170: [GC (Allocation Failure) [PSYoungGen: 8960K->288K(9728K)] 27553K->18921K(31744K), 0.0026485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:06.211+0800: 11.326: [GC (Allocation Failure) [PSYoungGen: 8992K->160K(9728K)] 27625K->18833K(31744K), 0.0034079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:06.386+0800: 11.501: [GC (Allocation Failure) [PSYoungGen: 8864K->160K(9728K)] 27537K->18857K(31744K), 0.0023067 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:06.638+0800: 11.752: [GC (Allocation Failure) [PSYoungGen: 8864K->128K(9728K)] 27561K->18857K(31744K), 0.0074063 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-01-22T16:59:06.973+0800: 12.088: [GC (Allocation Failure) [PSYoungGen: 8832K->192K(9728K)] 27561K->18961K(31744K), 0.0022846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:07.132+0800: 12.247: [GC (Allocation Failure) [PSYoungGen: 8896K->128K(9728K)] 27665K->18913K(31744K), 0.0036147 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:07.272+0800: 12.387: [GC (Allocation Failure) [PSYoungGen: 8832K->128K(9728K)] 27617K->18953K(31744K), 0.0019458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:07.393+0800: 12.508: [GC (Allocation Failure) [PSYoungGen: 8832K->160K(9728K)] 27657K->19009K(31744K), 0.0035418 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:07.514+0800: 12.630: [GC (Allocation Failure) [PSYoungGen: 8864K->256K(9728K)] 27713K->19137K(31744K), 0.0034197 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:07.633+0800: 12.748: [GC (Allocation Failure) [PSYoungGen: 8960K->192K(9728K)] 27841K->19097K(31744K), 0.0027415 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:07.731+0800: 12.847: [GC (Allocation Failure) [PSYoungGen: 8889K->192K(9728K)] 27794K->19129K(31744K), 0.0033332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:07.841+0800: 12.957: [GC (Allocation Failure) [PSYoungGen: 8896K->128K(9728K)] 27833K->19089K(31744K), 0.0019398 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:07.944+0800: 13.059: [GC (Allocation Failure) [PSYoungGen: 8826K->224K(9728K)] 27788K->19193K(31744K), 0.0024208 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:08.038+0800: 13.153: [GC (Allocation Failure) [PSYoungGen: 8928K->128K(9728K)] 27897K->19121K(31744K), 0.0039706 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:08.124+0800: 13.238: [GC (Allocation Failure) [PSYoungGen: 8832K->224K(9728K)] 27825K->19249K(31744K), 0.0017475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:08.227+0800: 13.342: [GC (Allocation Failure) [PSYoungGen: 8923K->160K(9728K)] 27949K->19201K(31744K), 0.0020474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T16:59:08.316+0800: 13.431: [GC (Allocation Failure) [PSYoungGen: 8864K->160K(9728K)] 27905K->19233K(31744K), 0.0018323 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
